id_credito,fecha_originacion,id_cliente,nombre_cliente,industria,monto,plazo_meses,canal,estatus_primer_pago
CRED-00688,27/07/2024,CLI-40944,Ing. Felix Campos,Comercio,613227.27,48,Sucursal,A Tiempo
CRED-00689,2026-06-09,CLI-96604,Eduardo Ybarra Cintrón,Construcción,4724033.35,60,App Móvil,Tardío
CRED-00690,2026-04-18,CLI-10948,Nadia Ávila,Tecnología,2873528.17,6,Promotor,Tardío
CRED-00691,2026-05-31,CLI-64647,Camila Beatriz Macías,Transporte,551884.84,18,App Móvil,A Tiempo
CRED-00692,2026-06-26,CLI-01474,Lic. Elvia Piña,Servicios,2118334.54,9,Call Center,Tardío
CRED-00693,2026-04-26,CLI-30602,Elsa Leonor Moreno Ceballos,Comercio,82451.33,3,Web,Tardío
CRED-00694,2026-04-26,CLI-19001,Dulce María Cristal Villalpando,Servicios,1131281.48,24,Sucursal,Tardío
CRED-00695,2026-05-08,CLI-76051,Irene Asunción Baca Cervántez,Agricultura,496703.39,9,Promotor,A Tiempo
CRED-00696,2026-07-16,CLI-01158,Ignacio Negrete Flórez,Agricultura,2547685.92,24,Web,A Tiempo
CRED-00697,2026-05-23,CLI-84493,Dr. Rodrigo Partida,Alimentos y Bebidas,2679876.71,24,Sucursal,A Tiempo
CRED-00698,2026-05-02,CLI-26792,Augusto Ávalos Berríos,Transporte,1433207.6,48,Promotor,Tardío
CRED-00699,2026-05-16,CLI-73411,Zoé Mayorga,Tecnología,2285166.18,12,Web,A Tiempo
CRED-00700,2026-04-28,CLI-54556,Ing. Gerardo Posada,Tecnología,367092.27,48,Promotor,A Tiempo
CRED-00701,2026-06-08,CLI-88619,Dr. Jaime Nava,Servicios,733167.18,36,App Móvil,A Tiempo
CRED-00702,2026-06-16,CLI-53937,Ana Ulibarri Cardenas,Servicios,152640.75,60,Call Center,A Tiempo
CRED-00703,2026-05-05,CLI-67032,Leonor Rocío Tapia,Salud,4815454.27,12,Web,A Tiempo
CRED-00704,2026-07-04,CLI-82915,Ing. Beatriz Zarate,Salud,1674712.63,60,Promotor,A Tiempo
CRED-00705,2026-05-26,CLI-72725,Abril Ferrer Archuleta,Alimentos y Bebidas,3865795.96,36,Promotor,A Tiempo
CRED-00706,2026-06-27,CLI-34393,Concepción Navarrete Adame,Agricultura,4411976.89,36,Promotor,A Tiempo
CRED-00707,2026-06-15,CLI-04222,Rodrigo Joaquín Ortiz Anaya,Construcción,899083.01,36,Sucursal,A Tiempo
CRED-00708,2026-06-19,CLI-55616,Ing. Jorge Mateo,Servicios,1664229.72,48,Promotor,A Tiempo
CRED-00709,2026-06-23,CLI-89182,Rodrigo Adán Luna,Educación,4521828.58,12,App Móvil,A Tiempo
CRED-00710,2026-04-23,CLI-23381,Fernando Olmos Angulo,Servicios,1724890.99,60,Web,A Tiempo
CRED-00711,2024-13-20,CLI-56130,Irma Martha Carrera Quiroz,Comercio,2615554.83,36,Call Center,Tardío
CRED-00712,2026-06-18,CLI-67931,Victoria Noelia Castillo,Comercio,1191830.74,48,Promotor,A Tiempo
CRED-00713,2026-05-02,CLI-71039,David Rosas,Educación,2729335.25,18,Sucursal,A Tiempo
CRED-00714,2026-04-29,CLI-00032,Reynaldo Gil Candelaria,Alimentos y Bebidas,1764129.44,12,Web,A Tiempo
CRED-00715,2026-06-28,CLI-77411,Srita. Patricia Escobar,Educación,2809419.4,6,Sucursal,Tardío
CRED-00716,2026-06-04,CLI-06358,Mauricio Gerónimo Colón,Tecnología,2018944.44,48,Promotor,Tardío
CRED-00717,2026-05-30,CLI-13063,Úrsula Fajardo,Construcción,4414837.73,9,Call Center,A Tiempo
CRED-00718,2026-05-17,CLI-25316,Isaac Abel Palomino Toledo,Transporte,1382434.73,12,Web,A Tiempo
CRED-00719,2026-05-22,CLI-97954,Horacio Augusto Torres Miranda,Salud,4779112.63,6,App Móvil,A Tiempo
CRED-00720,2026-06-16,CLI-13314,Sra. Elvia Reynoso,Transporte,3555262.96,9,App Móvil,A Tiempo
CRED-00721,2026-05-07,CLI-60006,Federico Palacios,Comercio,3380473.31,6,Web,Tardío
CRED-00722,2026-06-08,CLI-56081,Sr. Jorge Luis Montes,Agricultura,1279876.87,6,App Móvil,Tardío
CRED-00723,2026-06-09,CLI-87029,Cristian José Manuél Alvarez Centeno,Alimentos y Bebidas,3671353.49,48,Web,A Tiempo
CRED-00724,2026-05-31,CLI-79589,Leonel Sierra Rendón,Educación,4990569.53,60,Call Center,A Tiempo
CRED-00725,2026-05-12,CLI-63797,Martha Valdés,Servicios,2103933.8,18,Sucursal,A Tiempo
CRED-00726,2026-06-05,CLI-49890,Ing. Tomás Hernádez,Construcción,3516449.68,9,Call Center,Tardío
CRED-00727,2026-06-28,CLI-21637,Lic. Óscar Pineda,Tecnología,1382695.31,12,Promotor,A Tiempo
CRED-00728,2026-05-02,CLI-37843,Mercedes Citlali Camacho,Educación,4435546.26,60,App Móvil,Tardío
,2026-05-04,CLI-49373,Srita. Arcelia Ruiz,Educación,2261682.73,9,Promotor,Tardío
CRED-00730,2026-06-23,CLI-70266,Isabel Miriam Canales,Alimentos y Bebidas,2483517.89,6,Promotor,A Tiempo
CRED-00731,2026-04-18,CLI-32358,María Luisa Botello,Tecnología,92495.51,36,Call Center,A Tiempo
CRED-00732,2026-07-10,CLI-94089,Elsa Micaela Cabrera,Alimentos y Bebidas,4571373.34,36,Call Center,Tardío
,2026-06-14,CLI-97854,Daniela María Luisa Alonzo Reyes,Educación,4576445.09,60,Web,A Tiempo
CRED-00734,2026-07-01,CLI-64927,Sr. Eugenio Ramón,Educación,1622175.3,60,Web,A Tiempo
CRED-00735,2026-06-29,CLI-55278,Ramiro Armando Monroy Pineda,Manufactura,1767357.11,48,Web,A Tiempo
CRED-00736,2026-04-23,CLI-60961,Noelia Georgina Baeza Bonilla,Educación,3424090.29,24,Promotor,A Tiempo
CRED-00737,2026-06-19,CLI-60670,Juan Carlos Salvador Herrera Casárez,Educación,1745962.68,6,Web,A Tiempo
CRED-00738,2026-06-03,CLI-91433,Francisco Hernandes Molina,Agricultura,343965.58,18,Web,A Tiempo
CRED-00739,2026-07-03,CLI-34053,Dr. Humberto Saldivar,Salud,4729661.51,48,App Móvil,A Tiempo
CRED-00740,2026-06-21,CLI-92079,Josefina Sofía Rosales Correa,Transporte,1903573.02,3,Sucursal,A Tiempo
CRED-00741,2026-05-22,CLI-97475,Sessa Beltrán Roque,Transporte,3257485.6,3,Sucursal,A Tiempo
CRED-00742,2026-06-19,CLI-06591,Eduardo Robledo Tamez,Agricultura,2445106.01,9,Call Center,A Tiempo
CRED-00743,2026-04-19,CLI-61677,Dolores Salas Díaz,Transporte,2162081.08,9,App Móvil,A Tiempo
CRED-00744,2026-05-12,CLI-30220,Minerva Huerta Jurado,Manufactura,4545351.69,12,Promotor,A Tiempo
CRED-00745,2026-05-27,CLI-79485,Abelardo Chávez Lozano,Salud,2238152.83,6,Web,A Tiempo
CRED-00746,2026-06-11,CLI-63280,Fidel Andrés Valentín Valle,Salud,4152773.75,12,Web,A Tiempo
CRED-00747,2026-06-13,CLI-07757,Serafín Aguirre Pacheco,Alimentos y Bebidas,73239.48,12,Web,A Tiempo
CRED-00748,2026-05-05,CLI-71055,Lucía Roldán Loya,Educación,449740.47,9,Call Center,A Tiempo
CRED-00749,2026-05-18,CLI-79134,Pablo Baeza,Salud,1737577.16,24,Call Center,A Tiempo
CRED-00750,2026-05-02,CLI-66006,Lic. Tomás Farías,Manufactura,4596589.39,3,App Móvil,A Tiempo
CRED-00751,2026-06-26,CLI-78508,Germán Joaquín Guerrero,Educación,1043799.14,3,Call Center,A Tiempo
CRED-00752,2026-06-22,CLI-35446,José Manuél Alfonso Sáenz Narváez,Servicios,1040995.66,36,Call Center,A Tiempo
CRED-00753,2026-06-13,CLI-99729,Josefina Aldonza Saavedra Villarreal,Alimentos y Bebidas,3186048.69,12,Web,A Tiempo
CRED-00754,2026-06-21,CLI-09852,Homero Vicente Terrazas Echeverría,Manufactura,2530024.71,60,App Móvil,A Tiempo
CRED-00755,2026-05-24,CLI-54323,María Elena Jáquez,Alimentos y Bebidas,4934285.04,9,Web,A Tiempo
CRED-00756,,CLI-61653,Camila Zambrano Sandoval,Tecnología,2080763.35,12,Web,Tardío
CRED-00757,,CLI-07722,Carla Ariadna Esquivel Serrano,Transporte,3003691.87,24,Promotor,A Tiempo
CRED-00758,2026-04-21,CLI-10311,Marco Antonio Aponte,Construcción,3939577.99,60,Promotor,Tardío
CRED-00759,2026-05-16,CLI-96616,Dr. Rufino Ulibarri,Educación,1732916.38,60,Web,A Tiempo
CRED-00760,2026-06-16,CLI-20888,Javier Olivera Martínez,Educación,3671239.65,12,App Móvil,Tardío
CRED-00761,2026-04-24,CLI-54330,Irma Conchita Valladares Chavarría,Transporte,2942827.72,3,App Móvil,A Tiempo
CRED-00762,2026-04-21,CLI-40444,Jaqueline Ocasio,Construcción,2079168.17,48,Sucursal,A Tiempo
CRED-00649,2026-04-26,CLI-44081,Sra. Nelly Alejandro,Transporte,1640287.88,3,Promotor,A Tiempo
CRED-00764,2026-05-29,CLI-97716,Sandra Adame,Agricultura,3023663.62,18,Sucursal,A Tiempo
CRED-00765,2026-05-28,CLI-95622,Ariadna Diana Matos,Servicios,266950.39,60,Web,Tardío
CRED-00766,2026-07-08,CLI-98721,Alma María Salas Casas,Alimentos y Bebidas,4495173.2,9,Sucursal,A Tiempo
CRED-00767,2026-07-04,CLI-74646,Emilio Romo,Manufactura,2391360.73,60,Sucursal,A Tiempo
CRED-00768,2026-05-28,CLI-19209,Guillermo Sandoval,Educación,638410.83,9,Call Center,A Tiempo
CRED-00769,2026-05-30,CLI-03455,Dra. Carlota Venegas,Salud,-2972713.35,9,Web,A Tiempo
CRED-00770,2026-05-26,CLI-09451,Camila Madrid,Manufactura,4332188.82,9,App Móvil,A Tiempo
CRED-00771,2026-05-14,CLI-67742,Pilar Meza Leiva,Transporte,1860530.88,12,App Móvil,A Tiempo
CRED-00772,2026-06-25,CLI-77067,Guillermo Valentín Arredondo,Servicios,3805878.98,9,Call Center,Tardío
CRED-00773,2026-07-11,CLI-32483,Claudio Serna Madrid,Transporte,3660809.45,9,Call Center,A Tiempo
CRED-00774,2026-06-23,CLI-86507,Isabel Guerra Ballesteros,Tecnología,2706086.47,6,Sucursal,Tardío
CRED-00358,2026-06-24,CLI-56002,Jonás Venegas,Comercio,2301857.81,6,Call Center,A Tiempo
CRED-00776,2026-06-20,CLI-61313,María Teresa Catalina Mejía Gurule,Servicios,7260.25,12,Web,A Tiempo
CRED-00777,2026-06-24,CLI-46337,Elena Francisca Escalante Salcido,Construcción,140120.64,60,Sucursal,Tardío
,2026-05-13,CLI-18896,Octavio Crespo Montez,Servicios,1314652.98,6,Promotor,A Tiempo
CRED-00779,2026-06-30,CLI-04977,Ramón Jaime Serna,Construcción,1135323.78,36,Sucursal,A Tiempo
CRED-00780,2026-05-11,CLI-81047,Sr. Daniel Gálvez,Tecnología,995536.01,6,App Móvil,A Tiempo
CRED-00781,2026-05-16,CLI-73175,Lic. Georgina de la Garza,Transporte,1593307.65,60,App Móvil,A Tiempo
CRED-00782,2026-06-05,CLI-36824,Armando Andrés Salcedo Jáquez,Alimentos y Bebidas,2143525.71,9,Promotor,A Tiempo
CRED-00783,2026-04-18,CLI-30393,Julio César Julio César Saiz,Educación,4464445.95,9,Web,Tardío
CRED-00784,2026-07-02,CLI-69140,Rufino Jorge Molina,Alimentos y Bebidas,1014187.1,3,Promotor,A Tiempo
CRED-00785,2026-04-29,CLI-72144,Ing. Clemente Sevilla,Tecnología,4893946.72,24,Promotor,A Tiempo
CRED-00786,2026-04-20,CLI-31416,Ana María Barrera,Servicios,2841281.7,36,App Móvil,A Tiempo
CRED-00787,2026-07-02,CLI-38542,Francisco Javier Hugo Reséndez,Transporte,567342.41,3,App Móvil,A Tiempo
CRED-00788,2026-07-07,CLI-94592,Dra. Linda Montemayor,Manufactura,2792849.55,24,App Móvil,A Tiempo
CRED-00789,2026-06-24,CLI-09120,Wilfrido Arroyo Matías,Salud,3756268.6,9,Web,A Tiempo
CRED-00790,2026-04-23,CLI-51533,Fidel Joaquín Garza,Agricultura,2716580.87,18,Call Center,A Tiempo
CRED-00791,2026-06-22,CLI-65348,Lic. Camila Dávila,Servicios,4447320.27,9,Call Center,A Tiempo
CRED-00792,2026-05-30,CLI-73428,Lic. Esteban Raya,Agricultura,-2143668.02,18,App Móvil,A Tiempo
CRED-00793,2026-07-16,CLI-39337,Lic. Ignacio Beltrán,Tecnología,3957191.68,6,Sucursal,Tardío
CRED-00794,2026-04-30,CLI-45756,Ignacio Jos Valencia Tijerina,Transporte,568268.79,6,Call Center,A Tiempo
CRED-00795,2026-05-02,CLI-45009,Gilberto Armenta Montenegro,Tecnología,615476.27,36,Call Center,A Tiempo
,2026-05-23,CLI-20633,Marcela Barbara Pantoja,Agricultura,2013392.2,9,Web,A Tiempo
CRED-00797,2026-05-24,CLI-35931,Mariano Daniel Barela,Educación,921595.25,9,App Móvil,Tardío
CRED-00798,2026-06-17,CLI-08436,Bernabé Montañez Delgado,Comercio,4559077.74,60,Call Center,A Tiempo
CRED-00799,2026-05-15,CLI-18901,Virginia Lorena Camarillo,Tecnología,1503370.88,12,Web,A Tiempo
CRED-00800,15/08/2024,CLI-10778,Aldonza Paz,Manufactura,1799064.3,6,Call Center,A Tiempo
CRED-00801,2026-05-06,CLI-94566,Cornelio Collazo Nevárez,Construcción,48584.53,60,Web,A Tiempo
CRED-00802,2026-05-23,CLI-65422,Dulce Caraballo,Educación,4526534.85,48,App Móvil,A Tiempo
CRED-00803,2026-04-24,CLI-89566,Marcos Borrego Cantú,Salud,3723357.62,6,Web,Tardío
CRED-00804,2024-13-10,CLI-58715,Ramiro Genaro Salcido Lara,Transporte,204917.83,12,Call Center,Tardío
CRED-00805,2026-07-11,CLI-88938,Modesto Viera Escamilla,Tecnología,4430351.38,24,Sucursal,A Tiempo
CRED-00806,2026-06-12,CLI-50339,Enrique Borrego Guerrero,Agricultura,2663329.52,3,Call Center,Tardío
CRED-00807,2026-04-23,CLI-05517,Minerva Ofelia Pulido,Construcción,4621359.62,9,Promotor,Tardío
CRED-00808,2026-05-14,CLI-21833,Camila Sonia Esparza Cortez,Comercio,627754.58,6,Sucursal,A Tiempo
CRED-00809,2026-05-07,CLI-81519,Jonás Valenzuela Nieves,Servicios,2266569.99,6,App Móvil,A Tiempo
CRED-00810,2026-07-05,CLI-12927,Martha Sepúlveda Curiel,Alimentos y Bebidas,3796159.01,3,Promotor,A Tiempo
CRED-00811,2026-05-13,CLI-05316,Leonel Benito Zepeda Montaño,Manufactura,203671.57,6,Promotor,A Tiempo
CRED-00812,2026-05-07,CLI-14910,Ing. Amalia Tovar,Comercio,4320387.63,6,Promotor,A Tiempo
CRED-00813,2026-06-20,CLI-23680,Andrés Salgado Leal,Salud,246877.98,6,Web,A Tiempo
CRED-00814,2026-05-24,CLI-65970,María Peralta Reyes,Salud,4997469.6,9,Sucursal,A Tiempo
CRED-00815,2026-05-29,CLI-82685,Francisco Javier Abraham Toro Muñiz,Servicios,1959118.01,9,Promotor,A Tiempo
CRED-00816,2026-04-28,CLI-00044,Leonel Marrero Reyes,Agricultura,3475173.99,24,Web,A Tiempo
CRED-00817,2026-06-30,CLI-76014,Ramiro Acevedo,Construcción,348051.47,6,Promotor,Tardío
CRED-00818,2026-04-30,CLI-88512,Guillermina Anguiano Vanegas,Salud,4242913.72,48,App Móvil,A Tiempo
CRED-00819,,CLI-96995,Ilse Santacruz Coronado,Educación,2804619.96,48,Call Center,A Tiempo
CRED-00820,2026-06-28,CLI-76777,Silvano Aguilera,Construcción,3782066.24,36,Call Center,A Tiempo
CRED-00821,2026-04-22,CLI-34607,Ing. Claudia Reyes,Comercio,1785529.87,12,Promotor,A Tiempo
CRED-00822,2026-07-10,CLI-72995,Ing. Celia Sauceda,Agricultura,3660357.5,60,App Móvil,A Tiempo
CRED-00823,2026-06-23,CLI-25699,Jerónimo Pérez,Tecnología,2841905.71,12,App Móvil,A Tiempo
CRED-00824,2026-05-09,CLI-69994,Gregorio Agustín Alvarado,Construcción,4088390.79,36,Call Center,Tardío
CRED-00825,2026-05-29,CLI-53113,Micaela Cecilia Arteaga,Alimentos y Bebidas,4037304.94,24,Sucursal,A Tiempo
CRED-00826,2026-07-12,CLI-27963,María del Carmen Natividad Madera,Agricultura,1547122.96,18,App Móvil,Tardío
CRED-00827,2026-05-23,CLI-41929,Dra. Raquel Villegas,Servicios,4654227.72,48,Sucursal,Tardío
CRED-00828,2026-07-15,CLI-51522,Ing. Eugenio Soliz,Manufactura,2191042.81,24,App Móvil,A Tiempo
CRED-00829,2026-06-28,CLI-93627,Julia Jaime,Educación,1319714.04,12,Call Center,A Tiempo
CRED-00830,2026-05-08,CLI-70922,Karina Alarcón Pelayo,Alimentos y Bebidas,1262986.44,60,Sucursal,Tardío
CRED-00831,2026-05-01,CLI-78084,Isabela Sandra Acevedo Ocasio,Alimentos y Bebidas,1986207.94,36,Promotor,A Tiempo
CRED-00832,2026-06-30,CLI-34226,Carolina Ramírez,Tecnología,1348913.49,12,App Móvil,A Tiempo
CRED-00833,2026-07-15,CLI-09034,Judith Juárez,Tecnología,254605.02,36,App Móvil,A Tiempo
CRED-00834,2026-05-11,CLI-78803,Sofía Perla Acuña Cedillo,Construcción,2875760.27,12,Web,A Tiempo
CRED-00835,2026-05-12,CLI-46554,Abigail Mitzy Almaraz,Salud,-1217268.54,9,Promotor,Tardío
CRED-00836,2026-06-05,CLI-55588,Uriel Garibay,Servicios,3501769.48,3,Call Center,Tardío
CRED-00837,2026-07-02,CLI-05573,Sra. Eloisa Altamirano,Agricultura,265547.68,24,App Móvil,Tardío
CRED-00838,2026-07-06,CLI-38699,Javier Armando Lucio,Transporte,1558173.69,60,Call Center,A Tiempo
CRED-00839,2026-07-09,CLI-76502,Emiliano Reyes,Alimentos y Bebidas,2713695.24,48,Web,Tardío
CRED-00840,2026-07-15,CLI-00887,Srita. Socorro Valladares,Transporte,961184.28,60,Call Center,Tardío
CRED-00841,2026-07-04,CLI-48998,Salvador Ybarra,Agricultura,2165207.32,9,App Móvil,A Tiempo
CRED-00842,2026-06-01,CLI-99340,Octavio Eloy de la Rosa Franco,Tecnología,3215033.17,18,Call Center,A Tiempo
CRED-00843,2026-04-17,CLI-47885,Martha Emilia Gamboa Casanova,Agricultura,3250204.16,60,Sucursal,A Tiempo
CRED-00844,2026-06-18,CLI-70579,Rodolfo Bernardo Castro Caldera,Comercio,2575210.91,12,Web,A Tiempo
CRED-00845,2026-05-18,CLI-88038,Ricardo Sergio Brito Hernádez,Educación,4719119.09,60,Web,Tardío
CRED-00846,2026-05-16,CLI-24520,Natalia Beatriz Gaona Quiñónez,Comercio,4726450.88,60,Sucursal,Tardío
CRED-00847,2026-07-11,CLI-71387,Pedro Miramontes,Salud,2132462.23,24,App Móvil,A Tiempo
CRED-00848,2026-06-17,CLI-95359,Victoria Noriega,Alimentos y Bebidas,869563.34,48,Web,A Tiempo
CRED-00849,2026-04-27,CLI-53301,Esperanza Marroquín,Tecnología,2264364.87,3,Web,A Tiempo
CRED-00850,2026-05-06,CLI-54391,Marisela Santana,Servicios,2724493.4,12,Web,A Tiempo
CRED-00851,2026-06-16,CLI-91211,Eloy Colón,Salud,3196097.76,6,Promotor,A Tiempo
CRED-00852,2026-06-12,CLI-60285,Humberto Camilo Narváez,Alimentos y Bebidas,541751.46,6,Promotor,A Tiempo
CRED-00853,2026-04-28,CLI-97897,Zeferino Emiliano Gonzales,Tecnología,2110622.62,3,Sucursal,A Tiempo
CRED-00854,2026-04-30,CLI-24168,Esteban Mendoza Candelaria,Agricultura,2232913.28,9,App Móvil,A Tiempo
CRED-00855,2026-06-25,CLI-12147,Lic. Norma Gaitán,Tecnología,2794914.94,12,Call Center,A Tiempo
CRED-00856,2026-06-22,CLI-71884,Héctor Valdés Mora,Salud,1196838.86,36,Sucursal,A Tiempo
CRED-00857,2026-07-09,CLI-93659,Dolores Aldonza Carbajal,Transporte,824519.62,12,App Móvil,A Tiempo
CRED-00858,2026-05-10,CLI-44708,Jesús Daniel Armenta,Alimentos y Bebidas,2055448.71,36,Promotor,A Tiempo
CRED-00859,2026-05-07,CLI-31961,Pamela López,Educación,3191101.06,60,App Móvil,Tardío
CRED-00860,2026-06-25,CLI-28665,Emiliano Flavio Rolón,Alimentos y Bebidas,436639.38,36,Sucursal,A Tiempo
CRED-00861,2026-06-16,CLI-81270,Amador Jasso Riojas,Salud,2225277.15,3,Web,A Tiempo
CRED-00862,2026-07-02,CLI-24202,Sr. Omar Huerta,Agricultura,1909546.93,24,App Móvil,A Tiempo
CRED-00863,2026-05-21,CLI-57753,Sra. Virginia Briseño,Transporte,1006326.08,36,Promotor,A Tiempo
CRED-00864,2026-06-26,CLI-94449,Julio Claudio Solano Arteaga,Educación,488023.55,24,App Móvil,A Tiempo
CRED-00865,2026-06-07,CLI-51141,Lic. Mariano Salcido,Servicios,161978.28,18,Promotor,A Tiempo
CRED-00866,2026-07-15,CLI-64438,Patricia Rosa Ferrer,Salud,591105.66,18,Promotor,Tardío
CRED-00867,2026-07-12,CLI-13086,Germán Esparza Zavala,Agricultura,704749.19,6,Web,A Tiempo
CRED-00098,08/08/2024,CLI-41867,Frida Alcántar,Comercio,4699240.83,6,Promotor,A Tiempo
CRED-00869,2026-06-02,CLI-14075,Dra. Paulina Parra,Transporte,1583310.85,24,App Móvil,A Tiempo
CRED-00870,2026-07-14,CLI-24458,Alvaro Leal Alcántar,Comercio,35096.15,48,Sucursal,A Tiempo
CRED-00871,2026-06-11,CLI-22475,Ing. Rosario Pedroza,Manufactura,374036.64,36,Sucursal,A Tiempo
CRED-00872,2026-04-19,CLI-72094,Salma Aragón Adame,Salud,2698202.95,24,Call Center,A Tiempo
CRED-00873,2026-06-24,CLI-94350,Oswaldo Jesús Rivero Esquibel,Construcción,1400475.28,60,Promotor,A Tiempo
CRED-00874,2026-07-03,CLI-13966,Lic. Yolanda Salcedo,Agricultura,2907212.68,60,Web,A Tiempo
CRED-00875,2026-07-04,CLI-58154,Nicolás Mauricio Zamudio,Agricultura,4800670.0,9,Call Center,A Tiempo
CRED-00876,2026-06-12,CLI-13099,Alejandra Eugenia Salcedo,Tecnología,4718980.47,3,Promotor,A Tiempo
CRED-00877,2026-05-12,CLI-02952,Magdalena Cecilia Saucedo,Construcción,4543330.24,3,Promotor,A Tiempo
CRED-00878,2026-06-10,CLI-94318,Natalia Ana Luisa Huerta,Servicios,2253206.75,9,Call Center,A Tiempo
CRED-00879,2026-06-14,CLI-04880,Lic. Esteban Vásquez,Alimentos y Bebidas,2867005.14,36,Call Center,A Tiempo
CRED-00880,2026-04-28,CLI-98470,Emilio Báez Aguilera,Salud,3297128.56,9,Web,A Tiempo
CRED-00881,2026-04-26,CLI-12729,Esparta Hernández,Agricultura,1087521.75,36,Promotor,Tardío
CRED-00882,2026-06-25,CLI-31950,Maximiliano Escalante Galarza,Construcción,4944412.44,24,App Móvil,A Tiempo
CRED-00883,2026-07-15,CLI-65937,Hilda Virginia Terán Téllez,Agricultura,1376018.38,9,Call Center,A Tiempo
CRED-00884,2026-05-01,CLI-38286,Miriam Gaitán,Agricultura,1026677.93,6,Call Center,A Tiempo
CRED-00885,2026-07-03,CLI-83502,Jesús Leal Soria,Comercio,3168381.98,3,App Móvil,A Tiempo
CRED-00886,2026-05-05,CLI-77503,Diana Carbajal de la Rosa,Salud,234766.53,12,Sucursal,Tardío
CRED-00887,2026-04-23,CLI-47567,Ignacio Nicolás Madera Campos,Alimentos y Bebidas,1428893.64,60,Call Center,Tardío
CRED-00888,2026-06-30,CLI-86564,Sra. Olga Moreno,Manufactura,3674255.73,18,Sucursal,A Tiempo
CRED-00889,2026-06-14,CLI-84866,Gregorio José Eduardo Garrido Bueno,Agricultura,4556719.14,12,Sucursal,A Tiempo
CRED-00890,2026-05-22,CLI-76348,Sr. Óscar Centeno,Transporte,4967310.3,24,Call Center,A Tiempo
CRED-00891,2026-05-28,CLI-93743,Manuel Alonso Guerra,Servicios,3619550.18,36,Promotor,Tardío
CRED-00892,2024-02-30,CLI-39077,Sra. Ilse Velázquez,Servicios,2096725.11,12,Call Center,A Tiempo
CRED-00893,2026-07-05,CLI-97598,Esperanza Heredia Lugo,Manufactura,31538.19,36,Promotor,A Tiempo
CRED-00894,2026-05-24,CLI-57962,Estela Garica Llamas,Agricultura,4118078.16,18,Promotor,A Tiempo
CRED-00895,2026-05-06,CLI-15573,Dra. Clara Mejía,Comercio,4807786.76,12,Promotor,Tardío
CRED-00896,2026-07-14,CLI-73246,Francisca Paola Soria,Tecnología,2532134.14,6,Sucursal,A Tiempo
CRED-00897,2026-06-10,CLI-32847,Srita. Cynthia Jáquez,Servicios,4587377.3,60,Call Center,A Tiempo
CRED-00898,2026-04-17,CLI-61478,Sr. Camilo Garay,Alimentos y Bebidas,2126197.38,6,Call Center,A Tiempo
CRED-00899,2026-06-02,CLI-49557,Martha Almaraz,Salud,532328.51,18,Call Center,Tardío
CRED-00900,2026-07-10,CLI-64746,Sandra Puga,Agricultura,4288475.01,36,App Móvil,A Tiempo
CRED-00901,2026-05-02,CLI-62221,Sra. Teresa Nieto,Alimentos y Bebidas,4144022.31,48,Web,A Tiempo
CRED-00902,2026-06-30,CLI-84473,Verónica Florencia León,Transporte,413710.84,24,App Móvil,A Tiempo
CRED-00903,2026-05-24,CLI-39960,Luis Gilberto Hurtado Meraz,Agricultura,482715.69,3,Web,A Tiempo
CRED-00904,2026-04-25,CLI-98423,Mitzy Sofía Lovato Lozada,Tecnología,3415763.54,60,App Móvil,A Tiempo
CRED-00905,2026-05-28,CLI-11865,Francisco Felipe Limón Zamora,Salud,667956.01,24,Sucursal,Tardío
CRED-00906,2026-06-21,CLI-98166,Timoteo Espinoza Cantú,Educación,3818660.3,60,Web,A Tiempo
CRED-00907,2026-06-22,CLI-52122,Ángel Guillermo Barraza,Alimentos y Bebidas,3398283.63,12,Web,A Tiempo
CRED-00908,2026-04-19,CLI-42877,Sr. Horacio Segovia,Alimentos y Bebidas,252159.93,12,Sucursal,A Tiempo
CRED-00909,2026-07-09,CLI-24987,Nancy Elsa Cortez Rubio,Tecnología,4212402.59,60,App Móvil,A Tiempo
CRED-00910,2026-06-14,CLI-03745,Emiliano Alonso Borrego,Salud,3638737.56,9,Promotor,A Tiempo
CRED-00911,2026-07-06,CLI-74984,Dr. Gerónimo Archuleta,Agricultura,1468864.25,18,Web,A Tiempo
CRED-00912,2026-04-17,CLI-49060,Gloria Alvarado,Agricultura,4659461.35,18,Web,A Tiempo
CRED-00913,2026-05-22,CLI-26677,Omar Rosales,Comercio,3434475.56,60,App Móvil,A Tiempo
,2026-06-18,CLI-73423,Jonás Federico Cedillo,Tecnología,278101.31,48,Call Center,Tardío
CRED-00915,2026-04-17,CLI-03954,Sr. Ernesto Pedroza,Servicios,1651012.37,18,Sucursal,A Tiempo
CRED-00916,2026-07-02,CLI-82785,Mónica Dolores Sánchez Zedillo,Educación,3839648.44,6,Web,Tardío
CRED-00917,2026-06-25,CLI-63816,Eugenia Alma Pizarro Manzanares,Tecnología,3803910.83,24,Promotor,A Tiempo
CRED-00918,2026-05-30,CLI-11552,Iván Alemán,Educación,3762000.08,6,Sucursal,A Tiempo
CRED-00919,2026-04-19,CLI-72017,Salvador Marco Antonio Santillán Casillas,Alimentos y Bebidas,1920356.59,60,Web,Tardío
CRED-00920,2026-07-01,CLI-78812,Flavio Garay Carranza,Agricultura,1506491.44,60,Web,Tardío
CRED-00921,2026-04-20,CLI-49239,Srita. Leticia Urías,Salud,4886048.46,6,Call Center,Tardío
